colony,property_type,price_outer,price_per_sqft,Total Floors,Property Age,bedrooms,bathrooms,balconies,built_up_area,study room,servant room,store room,pooja room,others,view floor plan,furnishing_type,luxury_score,Overlooking_Categories
chuna bhatti,Flat,25.0,2744,1.0,Old Property,2,2,3,1093.2,0,0,0,0,0,0,1,0,Road Facing Homes
bagmugaliya,Flat,300.0,13888,1.0,New Property,13,14,2,3600.0,0,1,0,0,0,0,0,0,Road Facing Homes
misrod,Flat,28.0,2000,3.0,Moderate Property,3,2,1,1096.0,0,0,0,0,0,0,1,22,Green View Homes
hoshangabad road,Flat,26.0,3250,4.0,Old Property,2,2,1,960.0,0,0,0,0,0,0,0,51,Green View Homes
bhopal,House,120.0,8333,2.0,Old Property,4,4,2,1440.0,0,0,0,0,0,0,1,0,Amenity Facing Homes
shirdipuram,Flat,100.0,4683,6.0,New Property,4,4,1,1525.0,0,0,0,0,0,0,0,36,Road Facing Homes
kolar road,Flat,16.5,3000,1.0,Moderate Property,1,1,0,550.0,0,0,0,0,0,0,1,0,Road Facing Homes
khajuri kalan,House,56.0,7375,2.0,New Property,3,5,1,1920.0,1,0,0,1,0,0,1,3,Road Facing Homes
misrod,Flat,24.5,2606,4.0,New Property,2,2,1,730.7282742042029,0,0,0,0,0,0,1,73,Amenity Facing Homes
misrod,Flat,32.0,3131,1.0,New Property,3,2,2,1196.0,0,0,0,0,0,0,1,30,Amenity Facing Homes
bypass road,House,110.0,4527,1.0,Moderate Property,4,3,3,2430.0,0,0,0,0,0,0,1,0,Green View Homes
gehu kheda,Flat,30.0,3750,1.0,New Property,2,2,2,960.0,0,0,0,0,0,0,1,0,Road Facing Homes
bawadia kalan,House,515.0,17758,4.0,New Property,6,7,3,7000.0,0,0,0,0,0,0,1,23,Road Facing Homes
arera colony,Flat,44.0,3384,2.0,Old Property,3,2,3,1010.5816558143231,0,0,0,0,0,0,1,0,Road Facing Homes
piplani,Flat,10.5,2100,2.0,Old Property,1,1,1,600.0,0,0,0,1,0,0,1,3,Road Facing Homes
bagmugaliya,House,170.0,6800,2.0,Old Property,4,4,3,3000.0,1,0,0,1,1,0,1,19,Green View Homes
chuna bhatti,House,200.0,9000,2.0,Old Property,4,3,0,2222.0,0,0,0,0,0,0,0,10,Road Facing Homes
karond,House,95.0,3958,1.0,Old Property,6,5,1,2400.0,0,0,0,0,0,0,1,4,Green View Homes
gehu kheda,House,45.0,7500,2.0,New Property,3,2,2,600.0,0,0,0,0,0,0,0,46,Green View Homes
hoshangabad road,House,58.0,6157,3.0,New Property,2,5,2,942.0,0,0,0,0,0,0,1,7,Road Facing Homes
ayodhya bypass,Flat,70.0,3749,3.0,Moderate Property,3,3,3,1451.3507318502625,0,0,0,0,0,0,0,109,Amenity Facing Homes
bawadia kalan,Flat,45.0,3208,3.0,Moderate Property,3,2,0,1041.6764759932253,0,0,0,0,0,0,1,0,Road Facing Homes
