pname,society,price_outer,price_per_sqft,possesion,description,Area,Floor Number,Facing,Property Age,furnishing,features,Overlooking,bedrooms,bathrooms,balconies,additional_room,Floor_On,Total_Floors,area
"1 BHK Flat in Kolar Road, Bhopal",sudha apartment,20.0,3076,Ready To Move,"We are the proud owners of this 1 bhk apartment available in sudha apartment, kolar road, bhopal. This it is a and the unit is located on 3rd floor and has a super built-Up area of 650 sq.Ft. . It has 1 bathroom(s) and 1 balcony(s). The ownership is freehold type.","Super Built up area 650
(60.39 sq.m.)  
sq.ft.",3rd   of 3 Floors,NA,5 to 10 Year Old,,,,1,1,1,Not Available,3,3,650.2
"2 BHK Flat in New Choksey Nagar, Bhopal",apartment,16.0,2162,Ready To Move,Well maintained property full furnished apartment Ready to move Lic se approved With subsidy available,"Carpet area: 740
(68.75 sq.m.)  
sq.ft.",1st   of 3 Floors,NA,5 to 10 Year Old,,,,2,2,1,Not Available,1,3,740.06
"3 BHK Flat in Kohefiza, Bhopal",housing board colony,46.0,5111,Ready To Move,"This property is located at very prime location of kohefize at at sufiya masjid square only 2 min walking distance from sufiya masjid, well maintained apartment with lift , separate 2 wheeler and four wheeler parking","Carpet area: 900
(83.61 sq.m.)  
sq.ft.",2nd   of 4 Floors,East,5 to 10 Year Old,"['1 Water Purifier', '2 Fan', '4 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine']","['Maintenance Staff', 'Visitor Parking']",Main Road,3,2,1,Not Available,2,4,900.02
"3 BHK Flat in Arera Colony, Bhopal",lala lajpat rai society,44.0,3384,Ready To Move,"We are the proud owners of this 3 bhk apartment available in lala lajpat rai society, arera colony, bhopal. This it is a and the unit is located on 2nd floor and has a super built-Up area of 1300 sq.Ft. . It has 2 bathroom(s) and 3 balcony(s). The ownership is freehold type.","Super Built up area 1300
(120.77 sq.m.)  
sq.ft.",2nd   of 4 Floors,NA,10+ Year Old,,,,3,2,3,Not Available,2,4,1300.24
"3 BHK Flat in Salaiya, Bhopal",shiva whispering woods,45.0,4090,Ready To Move,3 bhk semi furnished flat available for sale covered campus in salaiya bhopal,"Carpet area: 1100
(102.19 sq.m.)  
sq.ft.",2nd   of 6 Floors,South-West,1 to 5 Year Old,,"['Security / Fire Alarm', 'Lift(s)', 'Maintenance Staff', 'Park', 'Visitor Parking']","Park/Garden,Main Road,Others",3,2,3,Not Available,2,6,1100.24
"2 BHK Flat in Bawadia Kalan, Bhopal",fortune signature,42.0,3706,Ready To Move,2 bhk semi furnished flat available for sale covered campus in bawadiya kalan,"Super Built up area 1133
(105.26 sq.m.)
Carpet area: 750 sq.ft. (69.68 sq.m.)  
sq.ft.",2nd   of 6 Floors,East,1 to 5 Year Old,"['1 Wardrobe', '5 Fan', '6 Light', '1 Chimney', '1 Modular Kitchen', 'No AC', 'No Bed', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Power Back-up', 'Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Swimming Pool', 'Maintenance Staff', 'Park', 'Visitor Parking', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']","Club,Pool,Park/Garden,Main Road,Others",2,2,2,Not Available,2,6,1133.3
"3 BHK Flat in Bawadia Kalan, Bhopal",shiv aangan,50.0,3144,Ready To Move,3 bhk semi furnished for sale secured covered campus car parking garden life facilities in shiv aangan campus salaiya bhopal,"Super Built up area 1590
(147.72 sq.m.)
Built Up area: 1190 sq.ft. (110.55 sq.m.)
Carpet area: 1114 sq.ft. (103.49 sq.m.)  
sq.ft.",2nd   of 7 Floors,West,1 to 5 Year Old    View Construction Status,"['3 Wardrobe', '5 Fan', '2 Geyser', '7 Light', '1 Modular Kitchen', '1 Chimney', 'No AC', 'No Bed', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking']","Park/Garden,Main Road,Club,Pool",3,3,3,Not Available,2,7,1590.33
"2 BHK Flat in Gulmohar Colony, Bhopal",apollo paradise,40.0,5970,Ready To Move,"Fully furnished, ready to move in 2bhk with premium interiors.","Super Built up area 1000
(92.9 sq.m.)
Carpet area: 670 sq.ft. (62.25 sq.m.)  
sq.ft.",3rd   of 4 Floors,East,1 to 5 Year Old    View Construction Status,"['1 Water Purifier', '4 Fan', '1 Fridge', '2 Geyser', '1 Stove', '6 Light', '1 AC', '1 TV', '1 Modular Kitchen', '1 Curtains', '2 Bed', '2 Wardrobe', '1 Sofa', '1 Washing Machine', '1 Microwave', 'No Chimney', 'No Dining Table', 'No Exhaust Fan']","['Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Water purifier', 'Maintenance Staff', 'Water Storage', 'Visitor Parking', 'Security Personnel', 'Internet/wi-fi connectivity', 'Spacious Interiors', 'Rain Water Harvesting']",,2,2,1,Not Available,3,4,670.02
"2 BHK Flat in Salaiya, Bhopal",aakriti greens,30.0,2654,Ready To Move,"A beautiful society, spacious corner flat on the first floor","Carpet area: 1130
(104.98 sq.m.)  
sq.ft.",1st   of 6 Floors,NA,5 to 10 Year Old,,"['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking']",,2,2,1,Not Available,1,6,1130.37
"3 BHK Flat in Bawadia Kalan, Bhopal",ikon kanha greens,31.0,2067,Under Construction,Residential apartment for sell.The property has 3 bedrooms with 3 bathrooms .Located in bawadia kalan.Property is built in 1200.00 sq.Ft.(Builtup area) available at an expected price of rs 3100000.Located on 5th floor out of the 7,"Super Built up area 1500
(139.35 sq.m.)
Built Up area: 1200 sq.ft. (111.48 sq.m.)
Carpet area: 800 sq.ft. (74.32 sq.m.)  
sq.ft.",5th   of 7 Floors,NA,Under Construction,,"['Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Swimming Pool', 'Water Storage', 'Park', 'Visitor Parking', 'Fitness Centre / GYM', 'Club house / Community Center']","Park/Garden,Main Road,Club",3,3,1,Not Available,5,7,1499.76
"1 BHK Flat in Kolar Road, Bhopal",sudha apartment,20.0,6666,Ready To Move,"We are the proud owners of this 1 bhk apartment available in sudha apartment, kolar road, bhopal. This it is a and the unit is located on 3rd floor and has a super built-Up area of 300 sq.Ft. . It has 1 bathroom(s) and 2 balcony(s). The ownership is freehold type.","Super Built up area 300
(27.87 sq.m.)  
sq.ft.",3rd   of 3 Floors,NA,10+ Year Old,,,,1,1,2,Not Available,3,3,300.03
"3 BHK Flat in Indra Vihar Colony, Bhopal",c -140 indra,38.0,3166,Ready To Move,Property is fully furnished having 247 water facility and electricity facility. Surroundings are also very good. Ready to move.,"Carpet area: 1200
(111.48 sq.m.)  
sq.ft.",2nd   of 2 Floors,NA,5 to 10 Year Old,"['5 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']",,,3,2,2,Not Available,2,2,1200.25
"2 BHK Flat in Bawadia Kalan, Bhopal",aakar canal kinship,30.0,4000,Ready To Move,"Property description: - Its a residential flat Built-Up area 750 sq.Ft. Carpet area 550 sq.Ft. Selling price- 30 lac. Accommodation 2 bedroom, d/d, kitchen , 1 balcony , Toilets 2 toilet Floor 5th floor Furnishing status fully-Furnished Feature covered campus , reserved car parking J.K. Hospital 4.3 km Bansal hospital 4.6 km Aura mall 4.3 km D-Mart -3.5 km Rani kamlapati railway station 8 km Isbt bus stand -8 km Brokerage percentage 2% Location canal kinship Locality salaiya Property code -152 Note: For more properties you can see our whatsapp catalogue","Built Up area: 750
(69.68 sq.m.)
Carpet area: 550 sq.ft. (51.1 sq.m.)  
sq.ft.",5th   of 6 Floors,North,1 to 5 Year Old    View Construction Status,"['2 Bed', '2 Wardrobe', '1 Modular Kitchen', '1 Chimney', 'No AC', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Light', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Intercom Facility', 'Lift(s)', 'Club house / Community Center', 'Waste Disposal', 'Rain Water Harvesting']",,2,2,2,Not Available,5,6,750.0
"3 BHK Flat in Mahawadiya, Bhopal",ibd hallmark citii,21.0,1953,Ready To Move,"Property description: - Its a residential flat Super built-Up area 1075 sq.Ft. Carpet area 764 sq.Ft. Selling price- 21 lac. Accommodation 3 bedroom, d/d, kitchen Toilets 2 toilet Floor 3rd floor (Top floor) ( Without lift facility) Furnishing status semi-Furnished Mother teresa school -2 km J.K. Hospital 8.8 km D-Mart kolar -5.4 km Rani kamlapati railway station 14.7 km Isbt bus stand -14.7 km Brokerage percentage 2% Loan facility available Location ibd hallmark city Locality kolar road Property code -176 Note: For more properties you can see our whatsapp catalogue","Super Built up area 1075
(99.87 sq.m.)
Carpet area: 764 sq.ft. (70.98 sq.m.)  
sq.ft.",3rd   of 3 Floors,North,10+ Year Old,"['1 Bed', '1 Wardrobe', '1 Modular Kitchen', 'No AC', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Light', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Feng Shui / Vaastu Compliant', 'Natural Light', 'Airy Rooms']",Main Road,3,2,1, view floor plan,3,3,1075.27
"3 BHK Flat in Hoshangabad Road, Bhopal",aashima royal city,43.0,2965,Ready To Move,"Property description: - Its a residential flat Super built-Up area 1450 sq.Ft. Selling price- 43 lac. Accommodation 3 bedroom, d/d, kitchen, 1 balcony Toilets 2 toilet (1 attached) Floor 5th floor Furnishing status un-Furnished , alloted car parking Feature covered campus Brokerage percentage 2% Location ashima royal city Locality bagmugaliya Property code -75 Note: For more properties you can see our whatsapp catalogue","Super Built up area 1450
(134.71 sq.m.)  
sq.ft.",5th   of 6 Floors,North,1 to 5 Year Old,,"['Lift(s)', 'Swimming Pool', 'Park', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']",Others,3,2,1,Not Available,5,6,1450.25
"3 BHK Flat in Hoshangabad Road, Bhopal",aryavrat british park,36.0,2400,Ready To Move,"3 bhk apartment in kenwood towers . This is a township in the name of british park , hoshangabad road, bhopal . This is an integrated township with all amenities. Hafeez contractor is the architect of the property. 35 families are already staying in kenwood towers.","Super Built up area 1690
(157.01 sq.m.)
Carpet area: 1500 sq.ft. (139.35 sq.m.)",5th   of 10 Floors,North,1 to 5 Year Old,,"['Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Piped-gas', 'Swimming Pool', 'Park', 'Security Personnel', 'Internet/wi-fi connectivity', 'Shopping Centre', 'Fitness Centre / GYM', 'Rain Water Harvesting', 'Club house / Community Center', 'Water softening plant']",,3,3,3,Not Available,5,10,1500.0
"3 BHK Flat in Hoshangabad Road, Bhopal",gmr golden palm,38.0,2814,Ready To Move,"Check out this 3 bhk apartment for sale in gmr golden palm, a popular residential project that houses in-Demand flats in hoshangabad road, bhopal. Containing 3 bedroom(s), 3 bathrooms and 2 balconies, this flat is spread over a carpet area of 1350 sq.Ft. The flat has a total of 6 floors and this property is situated on 2nd floor. Being a ready to move project, you can expect immediate possession of this 1-5 years old property. Many of the modern amenities being offered, like swimming pool, fitness centre / gym, club house / community center, park, grocery shop, cctv surveillance and lift(s), will provide a pleasant living experience for you. Price - 38,00,000/- Lakh (Abhinav group)","Carpet area: 1350
(125.42 sq.m.)  
sq.ft.",2nd   of 6 Floors,NA,1 to 5 Year Old,"['2 Wardrobe', '1 Modular Kitchen', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Light', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Power Back-up', 'Intercom Facility', 'Lift(s)', 'Swimming Pool', 'Water Storage', 'Park', 'Visitor Parking', 'Fitness Centre / GYM', 'Club house / Community Center', 'Rain Water Harvesting']",Park/Garden,3,3,2,Not Available,2,6,1350.39
"2 BHK Flat in Kolar Road, Bhopal",sarvadharm colony,17.0,2125,Ready To Move,"2 bhk flat for sale , sharvdharam colony near vishal mega mart kolar road,ready to move property and other information please call......","Super Built up area 800
(74.32 sq.m.)
Carpet area: 720 sq.ft. (66.89 sq.m.)  
sq.ft.",2nd   of 3 Floors,North,5 to 10 Year Old,"['1 Bed', '1 Water Purifier', '1 Fan', '1 Geyser', '1 Light', '1 Modular Kitchen', 'No AC', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine']","['Water Storage', 'Visitor Parking']","Main Road,Others",2,2,2, others,2,3,800.0
"3 BHK Flat in Salaiya, Bhopal",ville panache,90.0,7200,Ready To Move,Its a fully furnished property with very decent interior.,"Carpet area: 1250
(116.13 sq.m.)  
sq.ft.",1st   of 6 Floors,NA,1 to 5 Year Old    View Construction Status,,"['Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Swimming Pool', 'Maintenance Staff', 'Park', 'Security Personnel', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center', 'Rain Water Harvesting']",,3,2,2,Not Available,1,6,1250.0
"2 BHK Flat in Prabhu Nagar, Bhopal",royal appartment shaja,25.0,4166,Ready To Move,2bhk flat sale karna hai new construction hai 4 wheel parking hai lift hai ready to move hai front balcony wala flat hai shahjahabad main ayega near by star shadi hall eight three one nine zero eight seven two eight five,"Carpet area: 600
(55.74 sq.m.)  
sq.ft.",2nd   of 4 Floors,West,0 to 1 Year Old,,"['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking']","Park/Garden,Main Road",2,2,1,Not Available,2,4,600.1
"3 BHK Flat in Lalghati, Bhopal",green acres,75.0,5068,Ready To Move,"Green acres is one of bhopal's most sought after destination for apartments and this 3 bhk flat in lalghati is your opportunity to be a part of this community. Containing 3 bedroom(s), 3 bathrooms , this flat is spread over a built up area of 1480 sq.Ft. The flat has a total of 6 floors and this property is situated on 5th floor. Being a ready to move project, you can expect immediate possession of this 0-1 year old property.","Built Up area: 1480
(137.5 sq.m.)  
sq.ft.",5th   of 6 Floors,NA,,,,,3,3,0,Not Available,5,6,1479.87
"2 BHK Flat in Misrod, Bhopal",fortune soumya heritage,14.5,2116,Ready To Move,East facing apartment with a beautiful balcony view of the whole society. Highly ventilated 2bhk corner side house . Can be negotiable price if interested contact us as soon as possible.,"Super Built up area 685
(63.64 sq.m.)
Carpet area: 640 sq.ft. (59.46 sq.m.)  
sq.ft.",Ground of 6 Floors,East,1 to 5 Year Old    View Construction Status,,"['Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Fitness Centre / GYM', 'Rain Water Harvesting', 'Club house / Community Center']","Park/Garden,Main Road",2,1,1,Not Available,0,6,685.26
"2 BHK Flat in Bawadia Kalan, Bhopal",kalptaru galaxy square,35.0,4375,Ready To Move,2bhk flat for sale in the prime location of bawadiyakalan near bercha mawa bhandhar,"Built Up area: 800
(74.32 sq.m.)
Carpet area: 750 sq.ft. (69.68 sq.m.)  
sq.ft.",2nd   of 3 Floors,North,1 to 5 Year Old,"['1 Fan', '1 Light', '1 Modular Kitchen', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Security / Fire Alarm', 'Lift(s)', 'Maintenance Staff', 'Park', 'Visitor Parking']","Pool,Club,Park/Garden",2,2,1,Not Available,2,3,800.0
"2 BHK Flat in New Market, Bhopal",rivera hights,55.0,8208,Ready To Move,Property in prime location . Rivera hights. Near manit and mata mandir,"Carpet area: 670
(62.25 sq.m.)  
sq.ft.",6th   of 9 Floors,NA,1 to 5 Year Old,"['1 Fan', '1 Exhaust Fan', '1 Light', '1 Modular Kitchen', '1 Curtains', 'No AC', 'No Bed', 'No Chimney', 'No Dining Table', 'No Geyser', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']",,,2,2,1,Not Available,6,9,670.08
"3 BHK Flat in Lalghati, Bhopal",globus green acres,75.0,5067,Ready To Move,"3 bhk flat for sale in prime lalghati location Spacious and well-Ventilated 3 bhk flat available in the heart of lalghati a prime and rapidly developing area. The property is part of a secure gated community with top-Class amenities including: 24x7 security with guard surveillance Power backup for lifts and common areas Dedicated kids' play area Swimming pool & clubhouse Ample parking space Peaceful neighborhood with excellent connectivity Perfect for families seeking comfort, convenience, and a high-Quality lifestyle. Ready-To-Move-In!","Super Built up area 1480
(137.5 sq.m.)  
sq.ft.",5th   of 6 Floors,South-West,5 to 10 Year Old,,"['Security / Fire Alarm', 'Power Back-up', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Fitness Centre / GYM', 'Rain Water Harvesting', 'Club house / Community Center']","Pool,Park/Garden,Club,Others,Main Road",3,3,2,Not Available,5,6,1480.17
"3 BHK Flat in Katara Hills, Bhopal",asnani spring valley dew,43.0,2047,Ready To Move,"Check out this 3 bhk apartment for sale in asnani spring valley dew, a popular residential project that houses in-Demand flats in katara hills, bhopal. The flat is east-Facing. The flat is over 2100 sq.Ft. Carpet area and comes with 3 bedroom(s), 3 bathrooms and 1 balcony. This flat lies on the top level of a 6 storey building. This 1-5 years old property is available for immediate possession as the project is ready to move. The well built marble flooring enhances the aesthetic appeal of this flat. The society complex is in the close vicinity of close to school, close to hospital, close to market and close to railway station, making it an ideal home for a relaxed lifestyle. All the modern amenities such as fitness centre / gym, park, club house / community center, cctv surveillance, lift(s), maintenance staff and visitor parking will make life easier for you. The society provides continuous water supply from borewell/tank.","Carpet area: 2100
(195.1 sq.m.)  
sq.ft.",6th   of 6 Floors,East,1 to 5 Year Old    View Construction Status,"['1 Water Purifier', '5 Fan', '1 Fridge', '1 Exhaust Fan', '1 Dining Table', '2 Geyser', '1 Stove', '7 Light', '1 AC', '1 TV', '1 Modular Kitchen', '1 Chimney', '1 Curtains', '3 Bed', '3 Wardrobe', '1 Sofa', '1 Washing Machine', 'No Microwave']","['Security / Fire Alarm', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking', 'Fitness Centre / GYM', 'Club house / Community Center']","Park/Garden,Club,Main Road",3,3,1,Not Available,6,6,2100.64
"2 BHK Flat in Indus Towne, Bhopal",chinarr dream ct,16.0,2500,Ready To Move,"This beautiful 2 bhk flat in indus towne, bhopal is situated in chinarr dream ct, one of the popular residential society in bhopal. Containing 2 bedroom(s), 2 bathrooms and 1 balcony, this flat is spread over a carpet area of 640 sq.Ft. The flat has a total of 7 floors and this property is situated on 5th floor. An added advantage of this 5-10 years old flat is that it is available for immediate possession as the project is already ready to move.","Carpet area: 640
(59.46 sq.m.)  
sq.ft.",5th   of 7 Floors,NA,5 to 10 Year Old,,"['Lift(s)', 'Swimming Pool', 'Park', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center', 'Rain Water Harvesting']",,2,2,1,Not Available,5,7,640.0
"2 BHK Flat in Bharati Niketan, Bhopal",renhos,18.0,3000,Ready To Move,"This beautiful 2 bhk flat in bharati niketan, bhopal is situated in renhos, one of the popular residential society in bhopal. The flat is facing the north-East direction. Constructed on a carpet area of 600 sq.Ft., the flat comprises 2 bedroom(s), 2 bathrooms . This flat is situated on the top floor of this 2 floors tall residential building. Being a ready to move project, you can expect immediate possession of this 10+ years old property. The concrete flooring of this flat is beautifully designed and helps to give it a pleasing look. This residential property is situated near close to metro station, close to market, close to hospital and close to railway station.","Carpet area: 600
(55.74 sq.m.)  
sq.ft.",2nd   of 2 Floors,North-East,10+ Year Old,,,,2,2,0,Not Available,2,2,600.0
"4 BHK Flat in Arera Colony, Bhopal",lilasons kanha towers,200.0,7659,Ready To Move,"We are the proud owners of this 4 bhk apartment available in lilasons kanha towers, arera colony, bhopal. This furnished apartment it is a and the unit is located on 5th floor and has a carpet area of 2611 sq.Ft. . It has 3 bathroom(s) and 3 balcony(s). The ownership is freehold type.","Carpet area: 2611
(242.57 sq.m.)  
sq.ft.",5th   of 14 Floors,NA,5 to 10 Year Old,"['1 Water Purifier', '6 Fan', '1 Fridge', '1 Exhaust Fan', '4 Geyser', '1 Stove', '6 Light', '1 Curtains', '1 Chimney', '4 Wardrobe', '1 Sofa', '1 Washing Machine', '1 Microwave', 'No AC', 'No Bed', 'No Dining Table', 'No Modular Kitchen', 'No TV']",,,4,3,3,Not Available,5,14,2611.31
"2 BHK Flat in Bawadia Kalan, Bhopal",aakar canal kinship,52.0,4860,Ready To Move,"Check out this 2 bhk apartment for sale in aakar canal kinship, a popular residential project that houses in-Demand flats in bawadia kalan, bhopal. The flat occupies a built up area of 1070 sq.Ft. That consists of 2 bedrooms, 2 bathrooms and 2 balconies. The residential building has 6 floors in total and the flat for sale is located on the top floor. This is a ready to move project and the property is 5-10 years old.","Built Up area: 1070
(99.41 sq.m.)
Carpet area: 794 sq.ft. (73.77 sq.m.)  
sq.ft.",6th   of 6 Floors,NA,,"['1 Wardrobe', '1 Fan', '1 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']",,,2,2,2,Not Available,6,6,1069.96
"1 BHK Flat in Mandideep, Bhopal",udhyogpuri apartment,25.0,5555,Ready To Move,"We are the proud owners of this 1 bhk apartment available in udhyogpuri apartment, mandideep, bhopal. This it is a and the unit is located on 1st floor and has a super built-Up area of 450 sq.Ft. . It has 1 bathroom(s) and 1 balcony(s). The ownership is freehold type.","Super Built up area 450
(41.81 sq.m.)  
sq.ft.",1st   of 4 Floors,NA,5 to 10 Year Old,,,,1,1,1,Not Available,1,4,450.05
"2 BHK Flat in Misrod, Bhopal",fortune soumya heritage,20.0,2985,Ready To Move,"We are the proud owners of this 2 bhk apartment available in fortune soumya heritage, misrod, bhopal. This it is a and the unit is located on 3rd floor and has a super built-Up area of 670 sq.Ft. . It has 1 bathroom(s) and 1 balcony(s). The ownership is freehold type.","Super Built up area 670
(62.25 sq.m.)  
sq.ft.",3rd   of 6 Floors,NA,5 to 10 Year Old    View Construction Status,,,,2,1,1,Not Available,3,6,670.02
"1 BHK Flat in Sanjeev Nagar, Bhopal",ews sai apartment,7.0,2000,Ready To Move,Tncp rera approved ews 1 rk flat for sale in sanjeev nagar nevri near toh lalghati chouraha.,"Built Up area: 370
(34.37 sq.m.)
Carpet area: 350 sq.ft. (32.52 sq.m.)  
sq.ft.",1st   of 4 Floors,NA,1 to 5 Year Old,"['1 Bed', '1 Wardrobe', '1 Fan', '1 Exhaust Fan', '1 Light', '1 Curtains', 'No AC', 'No Chimney', 'No Dining Table', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']",,,1,1,1,Not Available,1,4,350.0
"2 BHK Flat in Kolar Road, Bhopal",sai vishal apartment,20.0,2150,Ready To Move,"2bhk residential flat for sale,near lotas hospital kolar road bhopal.","Super Built up area 930
(86.4 sq.m.)
Carpet area: 750 sq.ft. (69.68 sq.m.)  
sq.ft.",2nd   of 4 Floors,South-East,5 to 10 Year Old,,"['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Maintenance Staff']",Main Road,2,2,1, others,2,4,930.23
"3 BHK Flat in Gulmohar Colony, Bhopal",veer apartment,150.0,12500,Ready To Move,"Veer apartment is one of bhopal's most sought after destination for apartments and this 3 bhk flat in gulmohar colony is your opportunity to be a part of this community. The flat is over 1200 sq.Ft. Carpet area and comes with 3 bedroom(s), 3 bathrooms and 3 balconies. This flat is situated on the top floor of this 4 floors tall residential building. Being a ready to move project, you can expect immediate possession of this 1-5 years old property.","Carpet area: 1200
(111.48 sq.m.)  
sq.ft.",4th   of 4 Floors,NA,1 to 5 Year Old,,,,3,3,3,Not Available,4,4,1200.0
"4 BHK Flat in Sanjeev Nagar, Bhopal",ripl maple tree,80.0,3200,Ready To Move,"It is a penthouse, fully furnished.","Carpet area: 2500
(232.26 sq.m.)  
sq.ft.",6th   of 6 Floors,NA,1 to 5 Year Old,,"['Intercom Facility', 'Lift(s)', 'Swimming Pool', 'Park', 'Fitness Centre / GYM']",,4,3,2,Not Available,6,6,2500.0
"1 BHK Flat in Bawadia Kalan, Bhopal",sagar life style towers,15.0,3488,Ready To Move,"1 bhk flat for sale at sagar premium lifestyle towers, salaiya,bhopal","Super Built up area 430
(39.95 sq.m.)
Built Up area: 350 sq.ft. (32.52 sq.m.)
Carpet area: 286 sq.ft. (26.57 sq.m.)  
sq.ft.",5th   of 5 Floors,North,5 to 10 Year Old    View Construction Status,,"['Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Visitor Parking', 'Swimming Pool', 'Park', 'Shopping Centre', 'Fitness Centre / GYM', 'Rain Water Harvesting', 'Club house / Community Center']","Pool,Park/Garden,Club,Main Road",1,1,1,Not Available,5,5,430.05
"2 BHK Flat in Shirdipuram, Bhopal",agrawal sagar premium towers,35.0,2800,Ready To Move,"Agrawal sagar premium towers is one of bhopal's most sought after destination for apartments and this 2 bhk flat in shirdipuram is your opportunity to be a part of this community. The floor plan additionally contains 2 bedroom(s), 2 bathrooms and 1 balcony. All in all, the flat is spread over a super built up area of 1250 sq.Ft. The flat has a total of 7 floors and this property is situated on 2nd floor. This 1-5 years old property is available for immediate possession as the project is ready to move. Agrawal sagar premium towers is designed very well to provide modern facilities such as swimming pool, fitness centre / gym, club house / community center, park and lift(s).","Super Built up area 1250
(116.13 sq.m.)
Carpet area: 968 sq.ft. (89.93 sq.m.)  
sq.ft.",2nd   of 7 Floors,NA,1 to 5 Year Old,"['2 Wardrobe', '1 Modular Kitchen', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Light', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Swimming Pool', 'Water Storage', 'Park', 'Visitor Parking', 'Fitness Centre / GYM', 'Club house / Community Center', 'Rain Water Harvesting']",Park/Garden,2,2,1,Not Available,2,7,1250.0
