colony,property_type,Total Floors,Property Age,bedrooms,bathrooms,balconies,built_up_area,servant room,store room,furnishing_type,Overlooking_Categories,luxury_category,price
20.0,0.0,3.0,0.0,2,1,1,900.0,0,0,2,3.0,1.0,25.0
20.0,1.0,2.0,1.0,3,3,1,1900.0,0,0,1,1.0,2.0,82.0
9.0,0.0,4.0,2.0,2,2,1,1010.5816558143232,0,0,1,3.0,1.0,40.0
9.0,0.0,1.0,0.0,2,2,2,660.0,0,0,2,1.0,0.0,55.0
14.0,1.0,2.0,1.0,4,4,2,985.0,0,0,1,1.0,1.0,75.0
14.0,1.0,2.0,2.0,3,2,2,1250.0,0,0,1,3.0,2.0,135.0
6.0,0.0,2.0,1.0,3,2,1,1200.0,0,0,1,1.0,2.0,40.0
16.0,0.0,2.0,2.0,3,2,2,1260.0,0,0,1,2.0,1.0,30.0
0.0,0.0,1.0,2.0,2,2,1,720.0,0,0,0,3.0,1.0,23.0
1.0,0.0,3.0,2.0,3,2,2,876.0,0,0,1,3.0,1.0,40.0
31.0,0.0,3.0,0.0,2,2,1,650.0,0,0,1,3.0,1.0,27.0
10.0,1.0,2.0,2.0,5,4,2,1800.0,0,0,1,3.0,1.0,18.0
1.0,1.0,1.0,2.0,3,3,1,2400.0,0,0,1,3.0,1.0,295.0
17.0,1.0,3.0,1.0,7,6,3,3600.0,1,0,1,3.0,1.0,251.0
18.0,0.0,2.0,1.0,3,3,2,1620.0,0,0,1,1.0,2.0,38.0
14.0,1.0,2.0,1.0,4,2,1,1750.0,0,0,1,1.0,1.0,65.0
11.0,1.0,1.0,1.0,1,1,1,765.0,0,0,1,3.0,1.0,29.0
4.0,0.0,6.0,1.0,2,2,2,770.0,0,0,0,1.0,1.0,35.0
6.0,1.0,2.0,2.0,3,3,2,1200.0,0,0,1,3.0,1.0,138.0
9.0,1.0,3.0,1.0,4,3,0,6000.0,0,0,1,3.0,2.0,500.0
4.0,1.0,3.0,2.0,5,5,3,2150.0,1,0,1,1.0,1.0,215.0
10.0,1.0,1.0,1.0,3,2,1,1200.0,0,0,0,3.0,1.0,40.0
11.0,1.0,3.0,0.0,3,2,2,1152.0,0,0,1,3.0,1.0,75.0
22.0,0.0,2.0,0.0,2,2,1,751.0,0,0,1,2.0,2.0,24.99
12.0,0.0,7.0,2.0,2,2,3,1049.4501810379509,0,0,0,0.0,2.0,65.0
32.0,1.0,2.0,2.0,4,4,2,2000.0,0,0,1,3.0,1.0,150.0
14.0,1.0,2.0,1.0,3,3,1,900.0,0,0,1,3.0,2.0,90.0
22.0,0.0,1.0,0.0,2,2,2,917.0,0,0,0,0.0,2.0,27.8
9.0,1.0,2.0,1.0,4,3,2,1600.0,0,0,1,1.0,1.0,137.0
4.0,0.0,8.0,1.0,4,3,3,2580.0,0,0,1,0.0,2.0,55.0
33.0,1.0,2.0,1.0,3,3,2,2000.0,0,0,1,3.0,1.0,110.0
18.0,1.0,2.0,0.0,4,4,2,2400.0,0,0,0,1.0,2.0,150.0
17.0,1.0,3.0,1.0,6,2,2,2000.0,0,0,1,1.0,1.0,48.0
34.0,1.0,1.0,2.0,5,5,2,4140.0,1,1,1,1.0,2.0,560.0
5.0,1.0,2.0,0.0,4,3,1,1800.0,0,0,0,1.0,1.0,92.8
1.0,1.0,1.0,2.0,2,1,0,600.0,0,0,1,3.0,1.0,15.0
20.0,1.0,2.0,1.0,3,3,1,1400.0,0,0,1,1.0,1.0,60.0
33.0,0.0,5.0,1.0,2,2,1,1011.0,0,0,1,0.0,2.0,35.0
34.0,0.0,2.0,0.0,3,2,3,1243.79280715609,0,0,1,3.0,1.0,75.0
13.0,0.0,3.0,1.0,3,2,0,1075.0,0,0,1,3.0,1.0,19.5
20.0,0.0,1.0,1.0,3,2,2,1100.0,0,0,1,0.0,2.0,31.0
